epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.89,1.61784,1.57918,1.07976,0.01021,0.38593,0.00433,0.00209,1.89623,958.066,2.42777,0.00066242,0.00066242,0.00066242
2,247.954,1.69262,1.37035,1.12248,0.56254,0.663,0.56061,0.28722,1.66023,1.24573,1.14147,0.00131812,0.00131812,0.00131812
3,371.492,1.68979,1.36236,1.11791,0.42884,0.6652,0.38249,0.18565,1.69046,1.41918,1.10975,0.00196282,0.00196282,0.00196282
4,496.209,1.69165,1.3444,1.11811,0.58751,0.6685,0.59053,0.2512,1.91484,1.23678,1.16279,0.0019505,0.0019505,0.0019505
5,620.235,1.65542,1.28522,1.11199,0.60177,0.65805,0.59832,0.30506,1.6012,1.16328,1.08127,0.001934,0.001934,0.001934
6,745.49,1.60364,1.24762,1.09374,0.58906,0.73762,0.62646,0.34325,1.52026,1.08451,1.05084,0.0019175,0.0019175,0.0019175
7,870.551,1.62417,1.21816,1.08163,0.59418,0.6674,0.60241,0.26482,1.88954,1.16016,1.14281,0.001901,0.001901,0.001901
8,995.164,1.58604,1.19775,1.07599,0.63661,0.71462,0.66994,0.3431,1.6151,1.0915,1.06092,0.0018845,0.0018845,0.0018845
9,1120.4,1.55502,1.17456,1.06591,0.60299,0.72128,0.64039,0.31046,1.71408,1.08589,1.08531,0.001868,0.001868,0.001868
10,1243.04,1.55146,1.1622,1.07027,0.63357,0.69199,0.65896,0.31611,1.74339,1.12106,1.0925,0.0018515,0.0018515,0.0018515
11,1364.15,1.52842,1.13598,1.06359,0.6512,0.7164,0.68965,0.35894,1.59387,1.0406,1.05821,0.001835,0.001835,0.001835
12,1485.23,1.54432,1.12143,1.06718,0.66835,0.71568,0.69566,0.37288,1.52988,1.03739,1.03932,0.0018185,0.0018185,0.0018185
13,1606.72,1.52664,1.12523,1.05953,0.65605,0.68499,0.67382,0.35044,1.61641,1.0703,1.0555,0.001802,0.001802,0.001802
14,1728.53,1.50812,1.0928,1.05378,0.65834,0.70203,0.68829,0.3423,1.65528,1.032,1.07267,0.0017855,0.0017855,0.0017855
15,1852.49,1.51092,1.08881,1.04857,0.63928,0.71904,0.6976,0.34986,1.61839,1.02986,1.05139,0.001769,0.001769,0.001769
16,1974.72,1.51851,1.09945,1.05006,0.66696,0.71798,0.70648,0.35421,1.63776,1.02253,1.05832,0.0017525,0.0017525,0.0017525
17,2097.02,1.48159,1.06418,1.03964,0.66223,0.72622,0.70222,0.3628,1.62989,0.98362,1.05576,0.001736,0.001736,0.001736
18,2219.28,1.48818,1.06054,1.044,0.68543,0.71523,0.70713,0.36305,1.5537,1.02929,1.03989,0.0017195,0.0017195,0.0017195
19,2342.31,1.47777,1.07398,1.03756,0.64396,0.71853,0.68669,0.35337,1.60455,1.02602,1.05077,0.001703,0.001703,0.001703
20,2465.31,1.47438,1.05164,1.03871,0.62144,0.6707,0.65908,0.35998,1.45188,1.07231,1.01901,0.0016865,0.0016865,0.0016865
21,2587.18,1.47189,1.04457,1.03221,0.65722,0.74491,0.72781,0.36075,1.63806,0.97199,1.05692,0.00167,0.00167,0.00167
22,2708.58,1.43816,1.03244,1.02657,0.67811,0.74327,0.72754,0.36789,1.63629,0.96008,1.05263,0.0016535,0.0016535,0.0016535
23,2829.71,1.43091,1.03008,1.02141,0.70202,0.71138,0.72469,0.38723,1.51772,0.9339,1.04378,0.001637,0.001637,0.001637
24,2954.1,1.42363,1.00915,1.02595,0.66984,0.70313,0.70223,0.38677,1.45767,0.95917,1.02996,0.0016205,0.0016205,0.0016205
25,3079.91,1.4039,1.0179,1.02338,0.69544,0.71578,0.72934,0.40266,1.44247,0.91373,1.02224,0.001604,0.001604,0.001604
26,3206.02,1.39523,0.99075,1.013,0.68953,0.74234,0.73624,0.43695,1.30524,0.89239,0.99308,0.0015875,0.0015875,0.0015875
27,3333.41,1.39531,0.9906,1.01624,0.69556,0.72292,0.73473,0.42263,1.3493,0.89556,0.99636,0.001571,0.001571,0.001571
28,3458.48,1.42478,1.00846,1.01679,0.68546,0.75117,0.73111,0.39648,1.4659,0.91916,1.02487,0.0015545,0.0015545,0.0015545
29,3585.06,1.38027,0.97391,1.01169,0.68537,0.74931,0.74256,0.41522,1.43054,0.8851,1.0157,0.001538,0.001538,0.001538
30,3713.39,1.38043,0.97709,1.01119,0.72483,0.71358,0.74933,0.46269,1.20918,0.84681,0.98582,0.0015215,0.0015215,0.0015215
31,3842.07,1.38452,0.98369,1.01072,0.70166,0.75591,0.74551,0.46219,1.22593,0.83956,0.98222,0.001505,0.001505,0.001505
32,3968.07,1.38359,0.97887,1.01019,0.69668,0.75637,0.74867,0.46568,1.21794,0.84345,0.97257,0.0014885,0.0014885,0.0014885
33,4094.67,1.36083,0.96744,1.00415,0.70719,0.7329,0.74226,0.46301,1.22093,0.86293,0.97266,0.001472,0.001472,0.001472
34,4218.06,1.35178,0.96199,1.00618,0.69773,0.73667,0.74826,0.46806,1.20066,0.84408,0.97213,0.0014555,0.0014555,0.0014555
35,4344.16,1.35552,0.96104,0.99732,0.70406,0.75866,0.75022,0.45536,1.23888,0.8459,0.97371,0.001439,0.001439,0.001439
36,4470.59,1.36122,0.96199,1.00334,0.69164,0.73983,0.73248,0.43071,1.31205,0.88471,0.98239,0.0014225,0.0014225,0.0014225
37,4596.98,1.33983,0.93903,1.00241,0.70844,0.72534,0.75018,0.48125,1.14275,0.82542,0.96559,0.001406,0.001406,0.001406
38,4723.86,1.32773,0.92897,0.9986,0.68549,0.76251,0.74319,0.46462,1.22614,0.82792,0.9716,0.0013895,0.0013895,0.0013895
39,4849.01,1.33293,0.91969,0.9949,0.70944,0.74382,0.75011,0.45149,1.30875,0.83559,0.98353,0.001373,0.001373,0.001373
40,4974.65,1.3278,0.91082,0.99156,0.70306,0.75976,0.76719,0.48628,1.19096,0.8034,0.96118,0.0013565,0.0013565,0.0013565
41,5100.13,1.31664,0.91661,0.98703,0.70697,0.74052,0.74176,0.47254,1.18887,0.84611,0.9726,0.00134,0.00134,0.00134
42,5225.56,1.33387,0.92159,0.99032,0.70546,0.75096,0.7696,0.49699,1.14882,0.7926,0.96606,0.0013235,0.0013235,0.0013235
43,5352.86,1.32996,0.91521,0.99638,0.71274,0.76114,0.77233,0.48726,1.16908,0.79507,0.95825,0.001307,0.001307,0.001307
44,5477.01,1.31575,0.91292,0.9866,0.72431,0.76306,0.76695,0.48947,1.167,0.80818,0.96244,0.0012905,0.0012905,0.0012905
45,5600.49,1.31958,0.90747,0.98995,0.71224,0.75426,0.76665,0.48922,1.15042,0.78542,0.96167,0.001274,0.001274,0.001274
46,5723.56,1.30914,0.90815,0.98707,0.69241,0.74821,0.75538,0.47105,1.2122,0.82891,0.96769,0.0012575,0.0012575,0.0012575
47,5847.33,1.30864,0.89901,0.98888,0.71522,0.73729,0.7628,0.48815,1.17069,0.799,0.96055,0.001241,0.001241,0.001241
48,5971.16,1.2922,0.88615,0.98519,0.70865,0.7662,0.77106,0.4908,1.14936,0.78036,0.95853,0.0012245,0.0012245,0.0012245
49,6095.52,1.30822,0.89988,0.98844,0.71624,0.75349,0.77346,0.50548,1.10029,0.779,0.95355,0.001208,0.001208,0.001208
50,6221.04,1.31018,0.89179,0.9868,0.71638,0.75976,0.76934,0.47147,1.23674,0.80516,0.97038,0.0011915,0.0011915,0.0011915
51,6343.08,1.30554,0.87983,0.98647,0.69618,0.76087,0.76171,0.48375,1.16958,0.79623,0.96248,0.001175,0.001175,0.001175
52,6463.23,1.28007,0.87447,0.97898,0.70152,0.77268,0.7725,0.4891,1.16189,0.77299,0.9545,0.0011585,0.0011585,0.0011585
53,6584.41,1.2775,0.86619,0.98181,0.71693,0.76302,0.77342,0.49973,1.14968,0.76981,0.95125,0.001142,0.001142,0.001142
54,6705.24,1.29536,0.88272,0.98564,0.7302,0.72758,0.77115,0.48303,1.17398,0.7977,0.96178,0.0011255,0.0011255,0.0011255
55,6828.27,1.28181,0.86046,0.97882,0.73271,0.75866,0.7716,0.50698,1.10597,0.76668,0.94842,0.001109,0.001109,0.001109
56,6951.54,1.28294,0.8611,0.97914,0.73848,0.73997,0.77646,0.50471,1.11086,0.76931,0.95586,0.0010925,0.0010925,0.0010925
57,7073.31,1.27982,0.8613,0.98018,0.73328,0.73606,0.76882,0.49077,1.14286,0.79418,0.958,0.001076,0.001076,0.001076
58,7195.94,1.28223,0.85432,0.97714,0.73958,0.75921,0.77999,0.50207,1.12411,0.76527,0.95704,0.0010595,0.0010595,0.0010595
59,7316.53,1.27276,0.85095,0.97731,0.73889,0.74986,0.77237,0.49077,1.15939,0.78405,0.95572,0.001043,0.001043,0.001043
60,7436.51,1.27316,0.84705,0.97776,0.73808,0.75811,0.7781,0.50701,1.10028,0.75233,0.95144,0.0010265,0.0010265,0.0010265
61,7557.67,1.26057,0.84443,0.97926,0.74211,0.76636,0.77707,0.50503,1.1107,0.76212,0.94835,0.00101,0.00101,0.00101
62,7677.14,1.26739,0.85052,0.98098,0.75401,0.74931,0.78498,0.50452,1.13219,0.74248,0.95066,0.0009935,0.0009935,0.0009935
63,7798.95,1.24957,0.83538,0.97081,0.74755,0.7635,0.77718,0.49653,1.15159,0.75304,0.95695,0.000977,0.000977,0.000977
64,7921,1.25664,0.83805,0.97378,0.74842,0.75396,0.78277,0.5149,1.07714,0.73836,0.94801,0.0009605,0.0009605,0.0009605
65,8044.02,1.24138,0.82383,0.96883,0.737,0.75866,0.78828,0.51517,1.09495,0.73872,0.93762,0.000944,0.000944,0.000944
66,8168.17,1.24839,0.83431,0.96836,0.7363,0.75591,0.78524,0.5188,1.05475,0.73174,0.94312,0.0009275,0.0009275,0.0009275
67,8292.83,1.24113,0.83123,0.97285,0.74651,0.75811,0.78726,0.51545,1.10905,0.7277,0.95422,0.000911,0.000911,0.000911
68,8416.5,1.24847,0.81881,0.96637,0.74416,0.75206,0.78743,0.51745,1.08411,0.72768,0.94564,0.0008945,0.0008945,0.0008945
