epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.315,0.51554,0.88043,1,0.30886,0.0003334,0.0003334,0.0003334
2,36.4067,0.18675,0.93116,1,0.13971,0.000676704,0.000676704,0.000676704
3,55.3777,0.12677,0.92029,1,0.17636,0.00101308,0.00101308,0.00101308
4,73.5583,0.15162,0.9058,1,0.34164,0.00134252,0.00134252,0.00134252
5,91.5014,0.23205,0.82971,1,0.77999,0.00160099,0.00160099,0.00160099
6,109.478,0.27397,0.85145,1,0.70197,0.00158448,0.00158448,0.00158448
7,127.655,0.22654,0.9058,1,0.21257,0.00156798,0.00156798,0.00156798
8,145.869,0.2081,0.88768,1,0.29251,0.00155148,0.00155148,0.00155148
9,164.091,0.22043,0.88043,1,0.30153,0.00153497,0.00153497,0.00153497
10,182.072,0.19756,0.9058,1,0.26462,0.00151847,0.00151847,0.00151847
11,200.135,0.18508,0.93116,1,0.25328,0.00150197,0.00150197,0.00150197
12,219.123,0.16003,0.91304,1,0.2564,0.00148546,0.00148546,0.00148546
13,237.505,0.12521,0.90942,1,0.2032,0.00146896,0.00146896,0.00146896
14,255.849,0.15547,0.8913,1,0.34,0.00145246,0.00145246,0.00145246
15,274.377,0.14086,0.91304,1,0.19022,0.00143595,0.00143595,0.00143595
16,292.984,0.11746,0.90942,1,0.22828,0.00141945,0.00141945,0.00141945
17,311.671,0.13068,0.8913,1,0.3946,0.00140295,0.00140295,0.00140295
18,330.084,0.10157,0.93116,1,0.306,0.00138644,0.00138644,0.00138644
19,349.019,0.0951,0.92029,1,0.28087,0.00136994,0.00136994,0.00136994
20,367.464,0.10568,0.90217,1,0.33823,0.00135344,0.00135344,0.00135344
21,385.859,0.13052,0.92029,1,0.27292,0.00133693,0.00133693,0.00133693
22,404.1,0.12609,0.89855,1,0.30702,0.00132043,0.00132043,0.00132043
23,422.299,0.11582,0.92029,1,0.20881,0.00130393,0.00130393,0.00130393
24,440.568,0.10594,0.8913,1,0.3743,0.00128742,0.00128742,0.00128742
25,458.91,0.08332,0.92391,1,0.25284,0.00127092,0.00127092,0.00127092
26,477.354,0.08019,0.92029,1,0.33299,0.00125442,0.00125442,0.00125442
27,495.849,0.08783,0.92754,1,0.32065,0.00123791,0.00123791,0.00123791
